Quarter,Location,HBName,AdmissionType,Sex,Age,Episodes,LengthOfEpisode,AverageLengthOfEpisode,Stays,LengthOfStay,AverageLengthOfStay,Year,Quarter_single
2017Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,10,18,1.8,25,33,1.32,2017,Q4
2018Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,10,13,1.3,19,27,1.42105263157895,2018,Q1
2018Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,17,18,1.05882352941176,28,35,1.25,2018,Q2
2018Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,10,6,0.6,19,21,1.10526315789474,2018,Q3
2018Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,9,1.8,18,22,1.22222222222222,2018,Q4
2019Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,10,10,1,24,30,1.25,2019,Q1
2019Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,13,18,1.38461538461538,30,37,1.23333333333333,2019,Q2
2019Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,10,11,1.1,30,38,1.26666666666667,2019,Q3
2019Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,10,10,1,22,27,1.22727272727273,2019,Q4
2020Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,10,15,1.5,19,26,1.36842105263158,2020,Q1
2020Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,5,1,5,5,1,2020,Q2
2020Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,0,0,NA,0,0,NA,2020,Q3
2020Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,10,2,10,17,1.7,2020,Q4
2021Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,7,1.4,5,7,1.4,2021,Q1
2021Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,0,5,NA,0,5,NA,2021,Q2
2021Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,5,1,5,8,1.6,2021,Q3
2021Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,5,1,10,16,1.6,2021,Q4
2022Q1,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,5,1,13,34,2.61538461538462,2022,Q1
2022Q2,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,7,1.4,5,8,1.6,2022,Q2
2022Q3,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,5,1,16,19,1.1875,2022,Q3
2022Q4,S08000015,NHS Ayrshire and Arran,Elective Inpatients,Female,0-9 years,5,5,1,15,31,2.06666666666667,2022,Q4
