Quarter,Year,Quarter_single,HBName,AdmissionType,SIMD,Episodes,LengthOfEpisode,AverageLengthOfEpisode,Stays,LengthOfStay,AverageLengthOfStay
2017Q4,2017,Q4,NHS Ayrshire and Arran,Elective Inpatients,1,477,1383,2.899371069,511,1949,3.81409002
2018Q1,2018,Q1,NHS Ayrshire and Arran,Elective Inpatients,1,418,1100,2.631578947,435,1320,3.034482759
2018Q2,2018,Q2,NHS Ayrshire and Arran,Elective Inpatients,1,462,1348,2.917748918,484,1676,3.462809917
2018Q3,2018,Q3,NHS Ayrshire and Arran,Elective Inpatients,1,398,1016,2.552763819,425,1425,3.352941176
2018Q4,2018,Q4,NHS Ayrshire and Arran,Elective Inpatients,1,430,1048,2.437209302,459,1411,3.074074074
2019Q1,2019,Q1,NHS Ayrshire and Arran,Elective Inpatients,1,425,906,2.131764706,446,1365,3.060538117
2019Q2,2019,Q2,NHS Ayrshire and Arran,Elective Inpatients,1,432,1007,2.331018519,457,1368,2.993435449
2019Q3,2019,Q3,NHS Ayrshire and Arran,Elective Inpatients,1,379,1176,3.102902375,411,1468,3.571776156
2019Q4,2019,Q4,NHS Ayrshire and Arran,Elective Inpatients,1,359,991,2.760445682,383,1368,3.571801567
2020Q1,2020,Q1,NHS Ayrshire and Arran,Elective Inpatients,1,321,874,2.722741433,349,1164,3.335243553
2020Q2,2020,Q2,NHS Ayrshire and Arran,Elective Inpatients,1,87,204,2.344827586,94,469,4.989361702
2020Q3,2020,Q3,NHS Ayrshire and Arran,Elective Inpatients,1,212,752,3.547169811,224,893,3.986607143
2020Q4,2020,Q4,NHS Ayrshire and Arran,Elective Inpatients,1,199,451,2.266331658,209,748,3.578947368
2021Q1,2021,Q1,NHS Ayrshire and Arran,Elective Inpatients,1,96,328,3.416666667,104,600,5.769230769
2021Q2,2021,Q2,NHS Ayrshire and Arran,Elective Inpatients,1,211,575,2.725118483,224,794,3.544642857
2021Q3,2021,Q3,NHS Ayrshire and Arran,Elective Inpatients,1,152,450,2.960526316,179,831,4.642458101
2021Q4,2021,Q4,NHS Ayrshire and Arran,Elective Inpatients,1,222,656,2.954954955,232,931,4.012931034
2022Q1,2022,Q1,NHS Ayrshire and Arran,Elective Inpatients,1,180,662,3.677777778,192,841,4.380208333
2022Q2,2022,Q2,NHS Ayrshire and Arran,Elective Inpatients,1,224,724,3.232142857,238,899,3.777310924
2022Q3,2022,Q3,NHS Ayrshire and Arran,Elective Inpatients,1,288,927,3.21875,307,1272,4.143322476
2022Q4,2022,Q4,NHS Ayrshire and Arran,Elective Inpatients,1,264,777,2.943181818,290,1060,3.655172414
2017Q4,2017,Q4,NHS Ayrshire and Arran,Elective Inpatients,2,342,1116,3.263157895,355,1465,4.126760563
2018Q1,2018,Q1,NHS Ayrshire and Arran,Elective Inpatients,2,303,931,3.072607261,319,1087,3.407523511
2018Q2,2018,Q2,NHS Ayrshire and Arran,Elective Inpatients,2,349,1052,3.014326648,370,1411,3.813513514
2018Q3,2018,Q3,NHS Ayrshire and Arran,Elective Inpatients,2,347,924,2.662824207,372,1127,3.029569892
