WeekEnding,HB,HBQF,AgeGroup,AgeGroupQF,Sex,SexQF,NumberAttendances,Average20182019,PercentVariation
20200105,S08000015,,Under 5,,All,d,214,194.5,10
20200105,S08000015,,5 - 14,,All,d,116,119,-2.5
20200105,S08000015,,15 - 44,,All,d,681,694.5,-1.9
20200105,S08000015,,45 - 64,,All,d,485,455.5,6.5
20200105,S08000015,,65 - 74,,All,d,222,212,4.7
20200105,S08000015,,75 - 84,,All,d,182,184.5,-1.4
20200105,S08000015,,85 and over,,All,d,123,101.5,21.2
20200105,S08000015,,All ages,d,All,d,2048,1972.5,3.8
20200105,S08000015,,All ages,d,Female,,972,990.5,-1.9
20200105,S08000015,,All ages,d,Male,,1051,971,8.2
20200105,S08000016,,Under 5,,All,d,34,28.5,19.3
20200105,S08000016,,5 - 14,,All,d,20,28.5,-29.8
20200105,S08000016,,15 - 44,,All,d,215,183,17.5
20200105,S08000016,,45 - 64,,All,d,164,146.5,11.9
20200105,S08000016,,65 - 74,,All,d,95,81.5,16.6
20200105,S08000016,,75 - 84,,All,d,86,80,7.5
20200105,S08000016,,85 and over,,All,d,63,51,23.5
20200105,S08000016,,All ages,d,All,d,696,611,13.9
20200105,S08000016,,All ages,d,Female,,359,301,19.3
20200105,S08000016,,All ages,d,Male,,318,298,6.7
20200105,S08000017,,Under 5,,All,d,73,85.5,-14.6
20200105,S08000017,,5 - 14,,All,d,38,57,-33.3
20200105,S08000017,,15 - 44,,All,d,329,320.5,2.7
20200105,S08000017,,45 - 64,,All,d,219,194.5,12.6
20200105,S08000017,,65 - 74,,All,d,111,106.5,4.2
20200105,S08000017,,75 - 84,,All,d,113,96,17.7
20200105,S08000017,,85 and over,,All,d,58,47.5,22.1
20200105,S08000017,,All ages,d,All,d,958,909.5,5.3
20200105,S08000017,,All ages,d,Female,,473,455.5,3.8
20200105,S08000017,,All ages,d,Male,,468,452,3.5
20200105,S08000019,,Under 5,,All,d,100,84.5,18.3
20200105,S08000019,,5 - 14,,All,d,55,61.5,-10.6
20200105,S08000019,,15 - 44,,All,d,415,392.5,5.7
20200105,S08000019,,45 - 64,,All,d,324,287.5,12.7
20200105,S08000019,,65 - 74,,All,d,133,127.5,4.3
20200105,S08000019,,75 - 84,,All,d,163,136.5,19.4
