_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
1,2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,477,1383,2.899371069,,511,1949,3.81409002,
2,2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,418,1100,2.631578947,,435,1320,3.034482759,
3,2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,462,1348,2.917748918,,484,1676,3.462809917,
4,2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,398,1016,2.552763819,,425,1425,3.352941176,
5,2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,430,1048,2.437209302,,459,1411,3.074074074,
6,2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,425,906,2.131764706,,446,1365,3.060538117,
7,2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,432,1007,2.331018519,,457,1368,2.993435449,
8,2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,379,1176,3.102902375,,411,1468,3.571776156,
9,2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,359,991,2.760445682,,383,1368,3.571801567,
10,2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,321,874,2.722741433,,349,1164,3.335243553,
11,2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,87,204,2.344827586,,94,469,4.989361702,
12,2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,212,752,3.547169811,,224,893,3.986607143,
13,2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,199,451,2.266331658,,209,748,3.578947368,
14,2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,96,328,3.416666667,,104,600,5.769230769,
15,2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,211,575,2.725118483,,224,794,3.544642857,
16,2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,152,450,2.960526316,,179,831,4.642458101,
17,2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,222,656,2.954954955,,232,931,4.012931034,
18,2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,180,662,3.677777778,,192,841,4.380208333,
19,2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,224,724,3.232142857,,238,899,3.777310924,
20,2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,288,927,3.21875,,307,1272,4.143322476,
21,2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,1,,264,777,2.943181818,,290,1060,3.655172414,
22,2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,342,1116,3.263157895,,355,1465,4.126760563,
23,2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,303,931,3.072607261,,319,1087,3.407523511,
24,2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,349,1052,3.014326648,,370,1411,3.813513514,
25,2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,347,924,2.662824207,,372,1127,3.029569892,
26,2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,337,1302,3.863501484,,352,1772,5.034090909,
27,2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,402,927,2.305970149,,421,1258,2.988123515,
28,2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,354,873,2.466101695,,368,1188,3.22826087,
29,2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,339,879,2.592920354,,362,1086,3,
30,2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,326,920,2.82208589,,342,1169,3.418128655,
31,2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,267,692,2.5917603,,283,1195,4.222614841,
32,2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,70,267,3.814285714,,69,281,4.072463768,
33,2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,188,708,3.765957447,,200,949,4.745,
34,2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,173,551,3.184971098,,182,653,3.587912088,
35,2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,83,352,4.240963855,,86,486,5.651162791,
36,2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,188,551,2.930851064,,202,746,3.693069307,
37,2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,132,417,3.159090909,,141,633,4.489361702,
38,2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,165,526,3.187878788,,171,743,4.34502924,
39,2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,130,453,3.484615385,,141,644,4.567375887,
40,2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,192,490,2.552083333,,199,914,4.592964824,
41,2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,213,461,2.164319249,,229,726,3.170305677,
42,2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,2,,223,651,2.919282511,,232,813,3.504310345,
43,2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,261,675,2.586206897,,278,906,3.258992806,
44,2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,242,805,3.326446281,,258,1105,4.282945736,
45,2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,238,527,2.214285714,,246,651,2.646341463,
46,2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,247,648,2.623481781,,260,865,3.326923077,
47,2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,302,729,2.413907285,,319,956,2.996865204,
48,2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,290,545,1.879310345,,294,706,2.401360544,
49,2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,297,749,2.521885522,,309,1067,3.453074434,
50,2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,259,766,2.957528958,,269,863,3.208178439,
51,2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,241,664,2.755186722,,253,901,3.561264822,
52,2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,247,740,2.995951417,,254,1032,4.062992126,
53,2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,68,157,2.308823529,,69,185,2.68115942,
54,2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,145,522,3.6,,147,533,3.62585034,
55,2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,117,238,2.034188034,,126,552,4.380952381,
56,2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,58,131,2.25862069,,59,179,3.033898305,
57,2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,156,379,2.429487179,,170,523,3.076470588,
58,2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,121,527,4.355371901,,128,501,3.9140625,
59,2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,123,355,2.886178862,,127,525,4.133858268,
60,2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,103,285,2.766990291,,104,342,3.288461538,
61,2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,144,374,2.597222222,,150,516,3.44,
62,2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,182,525,2.884615385,,198,636,3.212121212,
63,2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,3,,194,620,3.195876289,,215,859,3.995348837,
64,2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,223,516,2.313901345,,238,717,3.012605042,
65,2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,182,471,2.587912088,,191,607,3.178010471,
66,2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,207,559,2.700483092,,212,743,3.504716981,
67,2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,210,521,2.480952381,,222,825,3.716216216,
68,2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,218,613,2.811926606,,226,783,3.46460177,
69,2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,247,583,2.360323887,,247,657,2.659919028,
70,2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,231,633,2.74025974,,249,918,3.686746988,
71,2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,231,632,2.735930736,,238,805,3.382352941,
72,2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,202,486,2.405940594,,208,577,2.774038462,
73,2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,191,526,2.753926702,,192,620,3.229166667,
74,2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,37,94,2.540540541,,38,218,5.736842105,
75,2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,84,214,2.547619048,,86,260,3.023255814,
76,2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,102,230,2.254901961,,108,428,3.962962963,
77,2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,4,,46,106,2.304347826,,51,158,3.098039216,
78,2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,4,,125,256,2.048,,132,428,3.242424242,
79,2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,4,,96,252,2.625,,108,473,4.37962963,
80,2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,4,,106,430,4.056603774,,110,510,4.636363636,
