Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,477,1383,2.899371069,,511,1949,3.81409002,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,418,1100,2.631578947,,435,1320,3.034482759,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,462,1348,2.917748918,,484,1676,3.462809917,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,398,1016,2.552763819,,425,1425,3.352941176,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,430,1048,2.437209302,,459,1411,3.074074074,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,425,906,2.131764706,,446,1365,3.060538117,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,432,1007,2.331018519,,457,1368,2.993435449,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,379,1176,3.102902375,,411,1468,3.571776156,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,359,991,2.760445682,,383,1368,3.571801567,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,321,874,2.722741433,,349,1164,3.335243553,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,87,204,2.344827586,,94,469,4.989361702,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,212,752,3.547169811,,224,893,3.986607143,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,199,451,2.266331658,,209,748,3.578947368,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,96,328,3.416666667,,104,600,5.769230769,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,211,575,2.725118483,,224,794,3.544642857,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,152,450,2.960526316,,179,831,4.642458101,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,1,,222,656,2.954954955,,232,931,4.012931034,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,1,,180,662,3.677777778,,192,841,4.380208333,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,1,,224,724,3.232142857,,238,899,3.777310924,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,1,,288,927,3.21875,,307,1272,4.143322476,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,1,,264,777,2.943181818,,290,1060,3.655172414,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,342,1116,3.263157895,,355,1465,4.126760563,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,303,931,3.072607261,,319,1087,3.407523511,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,349,1052,3.014326648,,370,1411,3.813513514,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,347,924,2.662824207,,372,1127,3.029569892,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,337,1302,3.863501484,,352,1772,5.034090909,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,402,927,2.305970149,,421,1258,2.988123515,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,354,873,2.466101695,,368,1188,3.22826087,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,339,879,2.592920354,,362,1086,3,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,326,920,2.82208589,,342,1169,3.418128655,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,267,692,2.5917603,,283,1195,4.222614841,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,70,267,3.814285714,,69,281,4.072463768,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,188,708,3.765957447,,200,949,4.745,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,173,551,3.184971098,,182,653,3.587912088,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,83,352,4.240963855,,86,486,5.651162791,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,188,551,2.930851064,,202,746,3.693069307,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,132,417,3.159090909,,141,633,4.489361702,
2021Q4,,S08000015,,S08000015,d,Elective Inpatients,,2,,165,526,3.187878788,,171,743,4.34502924,
2022Q1,,S08000015,,S08000015,d,Elective Inpatients,,2,,130,453,3.484615385,,141,644,4.567375887,
2022Q2,,S08000015,,S08000015,d,Elective Inpatients,,2,,192,490,2.552083333,,199,914,4.592964824,
2022Q3,,S08000015,,S08000015,d,Elective Inpatients,,2,,213,461,2.164319249,,229,726,3.170305677,
2022Q4,p,S08000015,,S08000015,d,Elective Inpatients,,2,,223,651,2.919282511,,232,813,3.504310345,
2017Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,261,675,2.586206897,,278,906,3.258992806,
2018Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,242,805,3.326446281,,258,1105,4.282945736,
2018Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,238,527,2.214285714,,246,651,2.646341463,
2018Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,247,648,2.623481781,,260,865,3.326923077,
2018Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,302,729,2.413907285,,319,956,2.996865204,
2019Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,290,545,1.879310345,,294,706,2.401360544,
2019Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,297,749,2.521885522,,309,1067,3.453074434,
2019Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,259,766,2.957528958,,269,863,3.208178439,
2019Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,241,664,2.755186722,,253,901,3.561264822,
2020Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,247,740,2.995951417,,254,1032,4.062992126,
2020Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,68,157,2.308823529,,69,185,2.68115942,
2020Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,145,522,3.6,,147,533,3.62585034,
2020Q4,,S08000015,,S08000015,d,Elective Inpatients,,3,,117,238,2.034188034,,126,552,4.380952381,
2021Q1,,S08000015,,S08000015,d,Elective Inpatients,,3,,58,131,2.25862069,,59,179,3.033898305,
2021Q2,,S08000015,,S08000015,d,Elective Inpatients,,3,,156,379,2.429487179,,170,523,3.076470588,
2021Q3,,S08000015,,S08000015,d,Elective Inpatients,,3,,121,527,4.355371901,,128,501,3.9140625,
